x,y,z,Target
-5.958191,0.6880646,8.135345,stand
-5.95224,0.6702118,8.136536,stand
-5.9950867,0.6535491999999999,8.204376,stand
-5.9427185,0.6761626999999999,8.128204,stand
-5.991516,0.64164734,8.135345,stand
-5.965332,0.6297455,8.128204,stand
-5.991516,0.6356963999999999,8.16272,stand
-5.915344,0.63093567,8.105591,stand
-5.984375,0.6940155,8.067505,stand
-5.937958,0.71543884,8.090117999999999,stand
-5.902252,0.6678314000000001,8.069885000000001,stand
-5.9498596,0.68092346,8.119873,stand
-5.9796143,0.7416229,8.0841675,stand
-5.9617615,0.71424866,8.155579,stand
-5.95343,0.7130585,8.153198,stand
-5.8665466,0.7344818000000001,8.10083,stand
-5.901062,0.7582855,8.081787,stand
-5.8713074,0.7190094,8.192474,stand
-5.932007,0.67259216,8.185333,stand
-5.895111,0.6797333000000001,8.132964999999999,stand
-5.8927307,0.68211365,8.155579,stand
-5.848694,0.6511688,8.144867,stand
-5.9236755,0.6868744000000001,8.034180000000001,stand
-5.902252,0.64878845,8.150818,stand
-5.927246,0.671402,8.03537,stand
-5.9284363,0.6464081,8.134155,stand
-5.9760437,0.6963959,8.093689,stand
-5.9498596,0.671402,8.135345,stand
-5.95224,0.6678314000000001,8.159149000000001,stand
-5.940338,0.6142731,8.093689,stand
-5.934387,0.64164734,8.182953,stand
-5.9355774,0.67497253,8.136536,stand
-5.9224854,0.63331604,8.129395,stand
-5.939148,0.5880890000000001,8.216277999999999,stand
-5.8915405,0.6464081,8.168671,stand
-5.901062,0.68092346,8.119873,stand
-5.901062,0.6690216,8.177002,stand
-5.939148,0.7201996,8.144867,stand
-5.9570007,0.7178191999999999,8.147247,stand
-5.9284363,0.70591736,8.129395,stand
-5.95105,0.735672,8.150818,stand
-5.934387,0.7773285,8.086547999999999,stand
-5.9617615,0.7428130999999999,8.124634,stand
-5.945099,0.78208923,8.060364,stand
-5.9177246,0.8035126,8.107971000000001,stand
-5.9284363,0.84635925,8.080597000000001,stand
-6.0057983,0.81422424,8.124634,stand
-5.970093,0.7178191999999999,8.078217,stand
-5.9367676,0.7618560999999999,8.1805725,stand
-5.9474792,0.7332916,8.157959,stand
-5.902252,0.7440033,8.0972595,stand
-5.9308167,0.70591736,8.107971000000001,stand
-5.9046326,0.66545105,8.0972595,stand
-5.8915405,0.66426086,8.072266,stand
-5.9165344,0.6928253000000001,8.106781,stand
-5.983185,0.68925476,8.16629,stand
-5.907013,0.6595001,8.134155,stand
-5.893921,0.6844939999999999,8.197235000000001,stand
-5.893921,0.6702118,8.171051,stand
-5.908203,0.6868744000000001,8.129395,stand
-5.88678,0.6452179,8.130585,stand
-5.8451233,0.6440276999999999,8.172241,stand
-5.8903503,0.65830994,8.179382,stand
-5.8736877,0.6797333000000001,8.134155,stand
-5.88797,0.6130829000000001,8.160339,stand
-5.9284363,0.63093567,8.1163025,stand
-5.902252,0.5619049,8.123444000000001,stand
-5.893921,0.57618713,8.16748,stand
-5.8915405,0.5642853,8.113922,stand
-5.9224854,0.57618713,8.157959,stand
-5.9677124,0.5892791999999999,8.134155,stand
-5.88797,0.5630951,8.204376,stand
-5.88678,0.63093567,8.191284,stand
-5.9570007,0.5964203,8.154388,stand
-5.912964,0.62260437,8.193665,stand
-5.8915405,0.6190338000000001,8.232941,stand
-5.915344,0.6630706999999999,8.188903999999999,stand
-5.940338,0.5952301,8.213898,stand
-5.940338,0.64997864,8.138916,stand
-5.9355774,0.65830994,8.113922,stand
-5.9046326,0.6464081,8.16629,stand
-5.918915,0.6773529,8.163910000000001,stand
-5.9034424,0.67497253,8.152008,stand
