x,y,z,Target
0.013748169,-0.00062561,-0.023376465,stand
0.014816283999999999,-0.001693726,-0.02230835,stand
0.0158844,-0.001693726,-0.021240234,stand
0.016952515,-0.003829956,-0.02017212,stand
0.0158844,-0.007034302,-0.02017212,stand
0.014816283999999999,-0.009170532,-0.02230835,stand
0.011611939,-0.013442993,-0.02230835,stand
0.011611939,-0.014511108,-0.021240234,stand
0.009475708,-0.016647339,-0.02230835,stand
0.010543823,-0.016647339,-0.021240234,stand
0.008407593,-0.015579224,-0.023376465,stand
0.006271362,-0.015579224,-0.023376465,stand
0.005203247,-0.013442993,-0.019104004,stand
0.004135132,-0.015579224,-0.021240234,stand
0.005203247,-0.012374878,-0.02017212,stand
0.004135132,-0.012374878,-0.019104004,stand
0.005203247,-0.009170532,-0.018035889,stand
0.006271362,-0.008102417,-0.016967773,stand
0.008407593,-0.007034302,-0.012695313,stand
0.007339478,-0.005966187,-0.012695313,stand
0.009475708,-0.009170532,-0.010559082,stand
0.009475708,-0.010238647,-0.011627197,stand
0.006271362,-0.013442993,-0.009490967,stand
0.005203247,-0.016647339,-0.011627197,stand
0.003067017,-0.017715454,-0.011627197,stand
0.001998901,-0.016647339,-0.014831543,stand
0.001998901,-0.01878357,-0.012695313,stand
0.000930786,-0.015579224,-0.014831543,stand
0.001998901,-0.015579224,-0.015899658,stand
0.003067017,-0.013442993,-0.015899658,stand
0.004135132,-0.008102417,-0.015899658,stand
0.006271362,-0.007034302,-0.014831543,stand
0.007339478,-0.004898071,-0.011627197,stand
0.010543823,-0.005966187,-0.012695313,stand
0.008407593,-0.007034302,-0.010559082,stand
0.008407593,-0.007034302,-0.007354736,stand
0.008407593,-0.008102417,-0.008422852,stand
0.010543823,-0.008102417,-0.004150391,stand
0.007339478,-0.011306763,-0.004150391,stand
0.005203247,-0.010238647,-0.005218506,stand
0.003067017,-0.010238647,0.001190186,stand
-0.000137329,-0.009170532,-0.000946045,stand
-0.000137329,-0.013442993,0.002258301,stand
-0.00227356,-0.014511108,0.003326416,stand
-0.005477905,-0.013442993,0.008666992,stand
-0.005477905,-0.014511108,0.010803223,stand
-0.007614136,-0.014511108,0.016143799,stand
-0.007614136,-0.014511108,0.02255249,stand
-0.015090942,-0.011306763,0.033233643,stand
-0.011886597,-0.013442993,0.027893066,stand
-0.018295288,-0.010238647,0.035369872999999996,stand
-0.020431519,-0.010238647,0.039642334,stand
-0.02470398,-0.010238647,0.041778564,stand
-0.027908325,-0.010238647,0.04711914,stand
-0.02897644,-0.008102417,0.048187256,stand
-0.03111267,-0.008102417,0.050323485999999994,stand
-0.0332489,-0.007034302,0.052459717,stand
-0.0332489,-0.004898071,0.052459717,stand
-0.034317017,-0.001693726,0.057800292999999996,stand
-0.034317017,0.000442505,0.05886841,stand
-0.0332489,0.00151062,0.062072754,stand
-0.03538513,0.003646851,0.066345215,stand
-0.0332489,0.003646851,0.06954956,stand
-0.0332489,0.004714966,0.068481445,stand
-0.034317017,0.003646851,0.07168579,stand
-0.03538513,0.005783081,0.070617676,stand
-0.036453247,0.003646851,0.06954956,stand
-0.038589478,0.004714966,0.070617676,stand
-0.040725708,0.003646851,0.068481445,stand
-0.040725708,0.00151062,0.068481445,stand
-0.039657593,0.000442505,0.06954956,stand
-0.040725708,-0.001693726,0.068481445,stand
-0.039657593,-0.002761841,0.068481445,stand
-0.040725708,-0.005966187,0.06954956,stand
-0.039657593,-0.010238647,0.070617676,stand
-0.040725708,-0.010238647,0.072753906,stand
-0.038589478,-0.014511108,0.07382202,stand
-0.039657593,-0.014511108,0.07382202,stand
-0.041793823,-0.01878357,0.07595825,stand
-0.040725708,-0.016647339,0.072753906,stand
-0.043930054,-0.0209198,0.08023071,stand
-0.04499817,-0.021987915,0.08129883,stand
-0.046066284,-0.021987915,0.08343506,stand
-0.04499817,-0.0209198,0.08236694,stand
-0.04499817,-0.019851685,0.084503174,stand
-0.04499817,-0.01878357,0.08770752,stand
-0.043930054,-0.01878357,0.088775635,stand
-0.04499817,-0.017715454,0.08770752,stand
-0.0471344,-0.016647339,0.090911865,stand
-0.0471344,-0.016647339,0.08984375,stand
-0.0471344,-0.014511108,0.093048096,stand
-0.046066284,-0.012374878,0.093048096,stand
-0.0471344,-0.010238647,0.09411621,stand
-0.04499817,-0.008102417,0.09625244,stand
-0.046066284,-0.005966187,0.09625244,stand
-0.046066284,-0.005966187,0.09732056,stand
-0.046066284,-0.012374878,0.09838867,stand
-0.0471344,-0.012374878,0.09625244,stand
-0.046066284,-0.014511108,0.095184326,stand
-0.0471344,-0.013442993,0.095184326,stand
-0.048202515,-0.011306763,0.08984375,stand
-0.050338745,-0.009170532,0.090911865,stand
-0.04927063,-0.008102417,0.08770752,stand
-0.050338745,-0.007034302,0.086639404,stand
-0.050338745,-0.004898071,0.08770752,stand
-0.04927063,-0.005966187,0.09197998,stand
-0.04927063,-0.004898071,0.09411621,stand
-0.04927063,-0.005966187,0.09625244,stand
-0.04927063,-0.008102417,0.09945679,stand
-0.050338745,-0.010238647,0.10159302,stand
-0.04927063,-0.009170532,0.10052489999999999,stand
-0.05140686,-0.010238647,0.10052489999999999,stand
-0.052474976,-0.008102417,0.09838867,stand
-0.052474976,-0.007034302,0.09945679,stand
-0.05140686,-0.007034302,0.095184326,stand
-0.05140686,-0.005966187,0.09945679,stand
-0.04927063,-0.005966187,0.09838867,stand
-0.050338745,-0.005966187,0.09625244,stand
-0.0471344,-0.002761841,0.093048096,stand
-0.0471344,-0.005966187,0.09625244,stand
-0.0471344,-0.010238647,0.095184326,stand
-0.046066284,-0.012374878,0.09197998,stand
-0.046066284,-0.014511108,0.086639404,stand
-0.04499817,-0.016647339,0.08770752,stand
-0.046066284,-0.0209198,0.086639404,stand
-0.046066284,-0.02519226,0.08343506,stand
-0.0471344,-0.02519226,0.08343506,stand
-0.046066284,-0.027328491,0.07809448,stand
-0.046066284,-0.027328491,0.07489014,stand
-0.043930054,-0.027328491,0.07595825,stand
-0.041793823,-0.02519226,0.07702637,stand
-0.040725708,-0.024124146,0.07702637,stand
-0.037521362,-0.02305603,0.07809448,stand
-0.036453247,-0.0209198,0.07382202,stand
-0.0332489,-0.017715454,0.07809448,stand
-0.032180786,-0.014511108,0.07595825,stand
-0.030044556,-0.014511108,0.07382202,stand
-0.030044556,-0.013442993,0.07382202,stand
-0.027908325,-0.012374878,0.07595825,stand
-0.027908325,-0.012374878,0.06954956,stand
-0.02470398,-0.012374878,0.06954956,stand
-0.02470398,-0.012374878,0.0652771,stand
-0.02470398,-0.012374878,0.0652771,stand
-0.023635864,-0.012374878,0.062072754,stand
-0.023635864,-0.014511108,0.057800292999999996,stand
-0.02470398,-0.014511108,0.06100464,stand
-0.022567749,-0.015579224,0.055664063,stand
-0.023635864,-0.015579224,0.057800292999999996,stand
-0.021499634,-0.012374878,0.056732178,stand
-0.022567749,-0.012374878,0.055664063,stand
-0.020431519,-0.011306763,0.054595947,stand
-0.018295288,-0.012374878,0.052459717,stand
-0.016159058,-0.010238647,0.051391599999999996,stand
-0.016159058,-0.008102417,0.051391599999999996,stand
-0.014022827,-0.005966187,0.050323485999999994,stand
-0.014022827,-0.005966187,0.051391599999999996,stand
-0.011886597,-0.002761841,0.048187256,stand
-0.010818481,-0.004898071,0.04925537,stand
-0.012954712,-0.003829956,0.043914795,stand
-0.011886597,-0.003829956,0.043914795,stand
-0.010818481,-0.005966187,0.04498291,stand
-0.010818481,-0.004898071,0.043914795,stand
-0.011886597,-0.004898071,0.043914795,stand
-0.010818481,-0.009170532,0.039642334,stand
-0.010818481,-0.009170532,0.04284668,stand
-0.009750366,-0.009170532,0.03643799,stand
-0.009750366,-0.009170532,0.03857422,stand
-0.008682251,-0.011306763,0.03643799,stand
-0.007614136,-0.009170532,0.03643799,stand
-0.005477905,-0.010238647,0.03857422,stand
-0.00440979,-0.011306763,0.035369872999999996,stand
-0.00227356,-0.009170532,0.03643799,stand
0.001998901,-0.008102417,0.031097412,stand
0.003067017,-0.010238647,0.02255249,stand
0.000930786,-0.007034302,0.021484375,stand
0.003067017,-0.009170532,0.019348145,stand
0.003067017,-0.005966187,0.019348145,stand
0.004135132,-0.007034302,0.017211914,stand
0.006271362,-0.004898071,0.008666992,stand
0.008407593,-0.003829956,0.008666992,stand
0.011611939,-0.002761841,0.008666992,stand
0.013748169,-0.001693726,0.004394531,stand
0.014816283999999999,-0.004898071,0.004394531,stand
0.016952515,-0.004898071,0.001190186,stand
0.021224976,-0.005966187,-0.004150391,stand
0.021224976,-0.008102417,-0.004150391,stand
0.024429321,-0.005966187,-0.005218506,stand
0.025497437,-0.008102417,-0.009490967,stand
0.027633667,-0.007034302,-0.012695313,stand
0.028701782000000002,-0.007034302,-0.015899658,stand
0.029769897000000003,-0.007034302,-0.014831543,stand
0.030838012999999997,-0.008102417,-0.019104004,stand
0.031906128,-0.010238647,-0.019104004,stand
0.03404236,-0.008102417,-0.021240234,stand
0.032974243,-0.009170532,-0.023376465,stand
0.035110473999999996,-0.007034302,-0.025512695,stand
0.03404236,-0.005966187,-0.02658081,stand
0.03617859,-0.005966187,-0.02658081,stand
0.03617859,-0.004898071,-0.027648926,stand
0.03617859,-0.003829956,-0.027648926,stand
0.03831482,-0.003829956,-0.02658081,stand
0.037246704,-0.004898071,-0.025512695,stand
0.03831482,-0.002761841,-0.02658081,stand
0.039382935,-0.001693726,-0.028717041,stand
0.039382935,-0.00062561,-0.02230835,stand
0.039382935,0.00151062,-0.030853271,stand
0.04045105,0.002578735,-0.02658081,stand
0.039382935,0.003646851,-0.029785156,stand
0.039382935,0.003646851,-0.029785156,stand
0.04045105,0.004714966,-0.030853271,stand
0.039382935,0.006851196,-0.031921387,stand
0.04045105,0.008987427,-0.030853271,stand
0.039382935,0.007919312,-0.029785156,stand
0.04045105,0.010055541999999999,-0.032989502,stand
0.039382935,0.011123657,-0.031921387,stand
0.039382935,0.013259888000000001,-0.032989502,stand
0.039382935,0.012191772,-0.029785156,stand
0.03831482,0.014328003,-0.029785156,stand
0.037246704,0.014328003,-0.030853271,stand
0.03617859,0.014328003,-0.032989502,stand
0.037246704,0.013259888000000001,-0.034057617,stand
0.03617859,0.016464233,-0.035125732,stand
0.037246704,0.015396118,-0.038330078,stand
0.039382935,0.014328003,-0.038330078,stand
0.041519165,0.011123657,-0.038330078,stand
0.039382935,0.013259888000000001,-0.037261963,stand
0.04258728,0.012191772,-0.04046631,stand
0.043655396,0.010055541999999999,-0.038330078,stand
0.04472351,0.008987427,-0.039398193,stand
0.04472351,0.004714966,-0.039398193,stand
0.04685974,0.002578735,-0.04046631,stand
0.04472351,0.002578735,-0.041534424,stand
0.04258728,0.000442505,-0.041534424,stand
0.041519165,-0.004898071,-0.04260254,stand
0.04045105,-0.008102417,-0.043670654,stand
0.03831482,-0.009170532,-0.04260254,stand
0.03617859,-0.010238647,-0.04473877,stand
0.037246704,-0.010238647,-0.04473877,stand
0.03617859,-0.011306763,-0.04260254,stand
0.03617859,-0.013442993,-0.041534424,stand
0.035110473999999996,-0.012374878,-0.041534424,stand
0.035110473999999996,-0.010238647,-0.038330078,stand
0.035110473999999996,-0.010238647,-0.039398193,stand
0.03404236,-0.008102417,-0.037261963,stand
0.031906128,-0.008102417,-0.031921387,stand
0.03404236,-0.008102417,-0.034057617,stand
0.031906128,-0.007034302,-0.029785156,stand
0.028701782000000002,-0.004898071,-0.028717041,stand
0.027633667,-0.004898071,-0.027648926,stand
0.025497437,-0.007034302,-0.025512695,stand
0.024429321,-0.005966187,-0.021240234,stand
0.024429321,-0.005966187,-0.02017212,stand
